Predictor,Response
0,0.08
0,0.03
0.01,0.05
0.01,0.03
0.03,0.03
0.04,0.04
0.04,0.02
0.05,0.05
0.06,0.05
0.06,0.05
0.1,0.05
0.11,0.07
0.13,0.08
0.14,0.12
0.16,0.05
0.18,0.08
0.19,0.09
0.2,0.06
0.21,0.05
0.21,0.16
0.22,0.17
0.22,0.13
0.23,0.23
0.23,0.21
0.26,0.12
0.3,0.21
0.37,0.36
0.37,0.22
0.4,0.22
0.43,0.43
0.44,0.45
0.46,0.21
0.46,0.27
0.49,0.53
0.51,0.25
0.52,0.24
0.54,0.4
0.54,0.42
0.56,0.4
0.6,0.32
0.63,0.29
0.65,0.92
0.66,0.55
0.68,0.63
0.7,0.44
0.71,0.51
0.72,0.68
0.74,0.61
0.74,0.5
0.74,0.61
0.77,0.61
0.78,0.64
0.78,0.42
0.78,0.43
0.79,0.44
0.8,0.56
0.83,0.61
0.83,0.93
0.83,0.71
0.84,0.85
0.85,0.94
0.85,0.78
0.86,0.99
0.86,0.97
0.87,1.17
0.87,0.6
0.88,1.03
0.88,1.06
0.89,0.94
0.91,0.78
0.93,0.77
0.93,1.02
0.93,1.35
0.93,0.52
0.93,0.61
0.93,0.73
0.93,0.93
0.94,0.64
0.99,1
1,1.31
